"","metabolite","date","treatment","nmol","replicate","pn_nm","pc_nm","cn_ratio","nm_metab_per_pc_nm"
"185","Thymine",2022-07-27,"RH",0.267666005896753,"230616_Smp_27July-RH_3",1987.74662666667,22657.5995466667,11.3986356423415,1.18135200220772e-05
"186","Thymine",2022-07-27,"RL",0.34380764991307,"230616_Smp_27July-RL_1",1186.245581,11993.75234,10.1106824186349,2.86655618831187e-05
"187","Thymine",2022-07-27,"RL",0.213735788437154,"230616_Smp_27July-RL_2",1450.355648,18072.54212,12.460765843827,1.18265480870355e-05
"188","Thymine",2022-07-27,"RL",0.147747171545727,"230616_Smp_27July-RL_3",2266.767342,21826.23696,9.62879451966271,6.76924619743187e-06
"189","Thymine",2022-07-27,"ZF",0.149991145026874,"230616_Smp_27July-ZF_1",719.3131445,7946.02717,11.0466870107363,1.88762436646531e-05
"190","Thymine",2022-07-27,"ZF",0.0563156029022903,"230616_Smp_27July-ZF_2",662.2942942,7349.96006,11.0977251719769,7.66202842499396e-06
"191","Thymine",2022-07-27,"ZF",0.0307553812957163,"230616_Smp_27July-ZF_3",533.518494,5329.35629,9.9890750741248,5.77093735568509e-06
"192","Thymine",2022-07-27,"ZH",0.468027640514279,"230616_Smp_27July-ZH_2",1119.460044,13829.30202,12.3535467783073,3.38431860000899e-05
"193","Thymine",2022-07-27,"ZH",0.120104076756991,"230616_Smp_27July-ZH_3",1181.178816,10188.12289,8.6253857180588,1.17886364400725e-05
"194","Thymine",2022-07-27,"ZL",0.23807510374368,"230616_Smp_27July-ZL_1",686.3991255,7511.747635,10.9437022221264,3.16937036907897e-05
"195","Thymine",2022-07-27,"ZL",0.431238127860842,"230616_Smp_27July-ZL_2",770.5393265,7771.73842,10.0861022308898,5.54879879578914e-05
"196","Thymine",2022-07-27,"ZL",0.171772467427509,"230616_Smp_27July-ZL_3",735.371196,8741.118965,11.886675753071,1.96510845024873e-05
"197","5-Oxoproline",2022-07-27,"C",0.817754487821873,"230616_Smp_27July-C_1",1185.426254,11479.2730866667,9.68366699145729,7.12374800780466e-05
"198","5-Oxoproline",2022-07-27,"C",0.350104848686814,"230616_Smp_27July-C_2",873.6222439,10625.53868,12.1626237818371,3.29493740722813e-05
"199","5-Oxoproline",2022-07-27,"C",0.481333035369626,"230616_Smp_27July-C_3",517.7119853,5497.437682,10.618718202582,8.75558875265893e-05
"200","5-Oxoproline",2022-07-27,"LH",1.17380848855744,"230616_Smp_27July-LH_1",2010.09345,20020.74554,9.96010684975865,5.86296092826441e-05
"201","5-Oxoproline",2022-07-27,"LH",1.8721677560751,"230616_Smp_27July-LH_2",2574.28402,28262.54342,10.9787976774995,6.62420125553973e-05
"202","5-Oxoproline",2022-07-27,"LH",4.52173855554057,"230616_Smp_27July-LH_3",2662.613278,28495.09614,10.7019282054373,0.000158684797318272
"203","5-Oxoproline",2022-07-27,"LL",0.306232986987569,"230616_Smp_27July-LL_1",939.6974365,9737.048695,10.3618976883311,3.14502881293816e-05
"204","5-Oxoproline",2022-07-27,"LL",1.47662734035873,"230616_Smp_27July-LL_2",966.664390666667,9603.34338,9.93451654237205,0.000153761797525013
"205","5-Oxoproline",2022-07-27,"LL",0.658658464571585,"230616_Smp_27July-LL_3",1154.727914,10410.86432,9.01585922863557,6.32664536129105e-05
"206","5-Oxoproline",2022-07-27,"RH",0.613787045201402,"230616_Smp_27July-RH_2",2509.253898,31183.55714,12.4274220176981,1.96830349547929e-05
"207","5-Oxoproline",2022-07-27,"RH",1.69226844022325,"230616_Smp_27July-RH_3",1987.74662666667,22657.5995466667,11.3986356423415,7.46887787798427e-05
"208","5-Oxoproline",2022-07-27,"RL",0.41572644241535,"230616_Smp_27July-RL_1",1186.245581,11993.75234,10.1106824186349,3.46619165237282e-05
"209","5-Oxoproline",2022-07-27,"RL",0.425608350643782,"230616_Smp_27July-RL_2",1450.355648,18072.54212,12.460765843827,2.35499990990632e-05
"210","5-Oxoproline",2022-07-27,"RL",2.82028891194859,"230616_Smp_27July-RL_3",2266.767342,21826.23696,9.62879451966271,0.000129215536196973
"211","5-Oxoproline",2022-07-27,"ZF",0.193912637930039,"230616_Smp_27July-ZF_1",719.3131445,7946.02717,11.0466870107363,2.44037219835027e-05
"212","5-Oxoproline",2022-07-27,"ZF",0.574412839659676,"230616_Smp_27July-ZF_2",662.2942942,7349.96006,11.0977251719769,7.81518314345338e-05
"213","5-Oxoproline",2022-07-27,"ZF",1.04972828479768,"230616_Smp_27July-ZF_3",533.518494,5329.35629,9.9890750741248,0.000196970933763124
"214","5-Oxoproline",2022-07-27,"ZH",0.815720309879976,"230616_Smp_27July-ZH_2",1119.460044,13829.30202,12.3535467783073,5.8984922644706e-05
